Company Name, Company Address,Package Range,To_be_hired,CGPA,Alumni,Visited,
Sprinklr Inc.,"ABCD complex(Bangalore)",30-50,MIN-2--MAX-7,>6CGPA,25,YES,
Microsoft Corp.,"XYZ sector(Delhi)",40-60,MIN-5--MAX-12,>7.5CGPA,15,NO,
Wipro Ltd.,"QWE area (Pune)",10-25,MIN-3--MAX-5,None,7,NO,
Atlassian Corp.,"RTY circle (New Delhi)",60-80,MIN-8--MAX-20,>5CGPA,14,YES,
Bundl Tech. Pvt. Ltd. ,"OPS Centre(Bangalore)",30-48,MIN-4--MAX-8,None,9,YES,
Zomato Pvt. Ltd.,"JKL Land(Bangalore)",25-50,MIN-7--MAX-10,>6.5CGPA,10,NO,
Intel Corp.,"FGH Quarter(Pune)",5-20,MIN-2--MAX-5,None,3,NO,
Lenovo Group ltd.,"MNO Mall(New Delhi)",5-10,MIN-1--MAX-6,None,6,YES,
Dell Tech. Inc.,"BVC Corp.(Pune)",20-35,MIN-0--MAX-9,None,5,NO,
Nova Tech. Soln.,"DSA Square(Bangalore)",30-35,MIN-3--MAX-8,>5.5CGPA,11,YES,
Nexus Group,"CRT Circuit(Pune)",20-30,MIN-2--MAX-5,None,2,NO,
Fusion Tech.,"EEE Building(Mumbai)",10-15,MIN-7--MAX-15 ,>6CGPA,18,NO,
Google LLC,"POE area(Bangalore)",50-70,MIN-4--MAX-10,>8CGPA,22,YES,
Infosys Ltd.,"LIS circle(Delhi)",20-40,MIN-6--MAX-7,>6CGPA,13,YES,
TCS Ltd.,"Daiict(Gandhinagar)",25-4,MIN-8--MAX-10,>5.5CGPA,16,YES,
